Date,Dynamic_Threshold,Action_Adjustment,Policy_Position,Reward,Policy_Equity_Curve
2019-11-25,2.0,0.0,0,-0.0,1.2145043786222027
2019-11-26,2.5,0.5,-1,0.0009906358839600893,1.2157075102408923
2019-11-27,2.5,0.5,-1,0.0022546266818366245,1.2184484768307906
2019-11-28,2.5,0.5,0,0.0,1.2184484768307906
2019-11-29,2.5,0.5,0,-0.0,1.2184484768307906
2019-12-02,2.5,0.5,0,-0.0,1.2184484768307906
2019-12-03,2.5,0.5,0,-0.0,1.2184484768307906
2019-12-04,2.5,0.5,0,-0.0,1.2184484768307906
2019-12-05,2.5,0.5,0,0.0,1.2184484768307906
2019-12-06,2.0,0.0,0,0.0,1.2184484768307906
2019-12-09,2.0,0.0,0,-0.0,1.2184484768307906
2019-12-10,1.5,-0.5,-1,0.01034867562218389,1.2310578048798566
2019-12-11,2.0,0.0,0,-0.0,1.2310578048798566
2019-12-12,1.5,-0.5,0,0.0,1.2310578048798566
2019-12-13,2.0,0.0,0,-0.0,1.2310578048798566
2019-12-16,1.5,-0.5,0,0.0,1.2310578048798566
2019-12-17,1.5,-0.5,0,0.0,1.2310578048798566
2019-12-18,2.0,0.0,0,-0.0,1.2310578048798566
2019-12-19,2.0,0.0,0,-0.0,1.2310578048798566
2019-12-20,1.5,-0.5,0,0.0,1.2310578048798566
2019-12-23,2.0,0.0,0,-0.0,1.2310578048798566
2019-12-24,2.0,0.0,0,0.0,1.2310578048798566
2019-12-25,2.0,0.0,0,-0.0,1.2310578048798566
2019-12-26,2.0,0.0,0,-0.0,1.2310578048798566
2019-12-27,1.5,-0.5,0,0.0,1.2310578048798566
2019-12-30,2.0,0.0,0,0.0,1.2310578048798566
2019-12-31,1.5,-0.5,0,-0.0,1.2310578048798566
2020-01-01,1.5,-0.5,0,-0.0,1.2310578048798566
2020-01-02,1.5,-0.5,0,0.0,1.2310578048798566
2020-01-03,2.5,0.5,0,0.0,1.2310578048798566
2020-01-06,2.5,0.5,0,0.0,1.2310578048798566
2020-01-07,2.5,0.5,0,0.0,1.2310578048798566
2020-01-08,2.0,0.0,0,0.0,1.2310578048798566
2020-01-09,2.5,0.5,0,0.0,1.2310578048798566
2020-01-10,2.5,0.5,0,-0.0,1.2310578048798566
2020-01-13,2.0,0.0,0,-0.0,1.2310578048798566
2020-01-14,2.0,0.0,0,0.0,1.2310578048798566
2020-01-15,2.0,0.0,0,0.0,1.2310578048798566
2020-01-16,2.0,0.0,0,0.0,1.2310578048798566
2020-01-17,2.0,0.0,0,0.0,1.2310578048798566
2020-01-20,2.0,0.0,0,0.0,1.2310578048798566
2020-01-21,2.0,0.0,0,-0.0,1.2310578048798566
2020-01-22,2.0,0.0,0,0.0,1.2310578048798566
2020-01-23,2.0,0.0,0,0.0,1.2310578048798566
2020-01-24,2.0,0.0,0,0.0,1.2310578048798566
2020-01-27,2.0,0.0,0,-0.0,1.2310578048798566
2020-01-28,2.0,0.0,0,0.0,1.2310578048798566
2020-01-29,2.0,0.0,0,0.0,1.2310578048798566
2020-01-30,2.0,0.0,0,-0.0,1.2310578048798566
2020-01-31,2.0,0.0,0,0.0,1.2310578048798566
2020-02-03,2.0,0.0,0,-0.0,1.2310578048798566
2020-02-04,1.5,-0.5,0,-0.0,1.2310578048798566
2020-02-05,1.5,-0.5,0,0.0,1.2310578048798566
2020-02-06,2.0,0.0,0,0.0,1.2310578048798566
2020-02-07,2.0,0.0,0,0.0,1.2310578048798566
2020-02-10,2.0,0.0,0,-0.0,1.2310578048798566
2020-02-11,2.0,0.0,0,-0.0,1.2310578048798566
2020-02-12,2.0,0.0,0,0.0,1.2310578048798566
2020-02-13,2.0,0.0,0,0.0,1.2310578048798566
2020-02-14,2.0,0.0,0,-0.0,1.2310578048798566
2020-02-17,2.0,0.0,0,0.0,1.2310578048798566
2020-02-18,1.5,-0.5,0,0.0,1.2310578048798566
2020-02-19,1.5,-0.5,0,0.0,1.2310578048798566
2020-02-20,1.5,-0.5,0,-0.0,1.2310578048798566
2020-02-21,2.5,0.5,0,0.0,1.2310578048798566
2020-02-24,2.5,0.5,0,-0.0,1.2310578048798566
2020-02-25,2.5,0.5,0,0.0,1.2310578048798566
2020-02-26,2.5,0.5,0,-0.0,1.2310578048798566
2020-02-27,2.5,0.5,0,-0.0,1.2310578048798566
2020-02-28,2.5,0.5,0,-0.0,1.2310578048798566
2020-03-02,1.5,-0.5,1,-0.006762211295513798,1.2227331318862675
2020-03-03,1.5,-0.5,1,0.00046443876797042094,1.2233010165555973
2020-03-04,1.5,-0.5,1,-0.004716085332657993,1.217531824573994
2020-03-05,1.5,-0.5,1,-0.003625377643504568,1.213117811916928
2020-03-06,2.5,0.5,1,0.0037449597310437177,1.2176608892715686
2020-03-09,2.5,0.5,0,0.0,1.2176608892715686
2020-03-10,2.0,0.0,0,0.0,1.2176608892715686
2020-03-11,2.5,0.5,0,0.0,1.2176608892715686
2020-03-12,2.5,0.5,0,-0.0,1.2176608892715686
2020-03-13,1.5,-0.5,0,0.0,1.2176608892715686
2020-03-16,2.5,0.5,0,0.0,1.2176608892715686
2020-03-17,2.5,0.5,0,0.0,1.2176608892715686
2020-03-18,2.0,0.0,0,0.0,1.2176608892715686
2020-03-19,2.5,0.5,0,-0.0,1.2176608892715686
2020-03-20,1.5,-0.5,-1,0.003926890537926386,1.222442510296052
2020-03-23,2.0,0.0,0,-0.0,1.222442510296052
2020-03-24,1.5,-0.5,0,-0.0,1.222442510296052
2020-03-25,2.0,0.0,0,-0.0,1.222442510296052
2020-03-26,1.5,-0.5,0,-0.0,1.222442510296052
2020-03-27,1.5,-0.5,0,0.0,1.222442510296052
2020-03-30,1.5,-0.5,0,-0.0,1.222442510296052
2020-03-31,1.5,-0.5,0,0.0,1.222442510296052
2020-04-01,1.5,-0.5,0,0.0,1.222442510296052
2020-04-02,1.5,-0.5,0,0.0,1.222442510296052
2020-04-03,2.0,0.0,0,-0.0,1.222442510296052
2020-04-06,2.0,0.0,0,-0.0,1.222442510296052
2020-04-07,2.0,0.0,0,0.0,1.222442510296052
2020-04-08,2.0,0.0,0,-0.0,1.222442510296052
2020-04-09,1.5,-0.5,0,-0.0,1.222442510296052
2020-04-10,1.5,-0.5,0,0.0,1.222442510296052
2020-04-13,2.0,0.0,0,-0.0,1.222442510296052
2020-04-14,2.0,0.0,0,0.0,1.222442510296052
2020-04-15,2.0,0.0,0,-0.0,1.222442510296052
2020-04-16,2.0,0.0,0,-0.0,1.222442510296052
2020-04-17,2.0,0.0,0,0.0,1.222442510296052
2020-04-20,2.0,0.0,0,0.0,1.222442510296052
2020-04-21,2.0,0.0,0,-0.0,1.222442510296052
2020-04-22,2.5,0.5,0,-0.0,1.222442510296052
2020-04-23,2.5,0.5,0,-0.0,1.222442510296052
2020-04-24,2.5,0.5,0,-0.0,1.222442510296052
2020-04-27,2.0,0.0,0,-0.0,1.222442510296052
2020-04-28,2.5,0.5,0,-0.0,1.222442510296052
2020-04-29,2.5,0.5,0,-0.0,1.222442510296052
2020-04-30,2.5,0.5,0,0.0,1.222442510296052
2020-05-01,2.5,0.5,0,0.0,1.222442510296052
2020-05-04,2.0,0.0,0,-0.0,1.222442510296052
2020-05-05,2.0,0.0,0,0.0,1.222442510296052
2020-05-06,2.0,0.0,0,-0.0,1.222442510296052
2020-05-07,2.0,0.0,0,-0.0,1.222442510296052
2020-05-08,2.0,0.0,0,0.0,1.222442510296052
2020-05-11,2.5,0.5,0,-0.0,1.222442510296052
2020-05-12,2.5,0.5,0,0.0,1.222442510296052
2020-05-13,2.5,0.5,0,-0.0,1.222442510296052
2020-05-14,1.5,-0.5,0,0.0,1.222442510296052
2020-05-15,1.5,-0.5,0,-0.0,1.222442510296052
2020-05-18,1.5,-0.5,0,-0.0,1.222442510296052
2020-05-19,1.5,-0.5,0,-0.0,1.222442510296052
2020-05-20,1.5,-0.5,0,0.0,1.222442510296052
2020-05-21,2.0,0.0,0,0.0,1.222442510296052
2020-05-22,2.5,0.5,0,0.0,1.222442510296052
2020-05-25,2.5,0.5,0,-0.0,1.222442510296052
2020-05-26,2.5,0.5,0,-0.0,1.222442510296052
2020-05-27,2.5,0.5,0,-0.0,1.222442510296052
2020-05-28,2.0,0.0,0,-0.0,1.222442510296052
2020-05-29,2.0,0.0,0,-0.0,1.222442510296052
2020-06-01,1.5,-0.5,1,-0.003662651631641922,1.2179651292411278
2020-06-02,2.0,0.0,0,-0.0,1.2179651292411278
2020-06-03,2.0,0.0,0,-0.0,1.2179651292411278
2020-06-04,1.5,-0.5,1,0.0016967956666449346,1.2200317671945486
2020-06-05,2.0,0.0,0,-0.0,1.2200317671945486
2020-06-08,2.0,0.0,0,-0.0,1.2200317671945486
2020-06-09,2.0,0.0,0,-0.0,1.2200317671945486
2020-06-10,2.0,0.0,0,0.0,1.2200317671945486
2020-06-11,2.0,0.0,0,0.0,1.2200317671945486
2020-06-12,2.5,0.5,0,-0.0,1.2200317671945486
2020-06-15,2.0,0.0,0,0.0,1.2200317671945486
2020-06-16,2.5,0.5,0,-0.0,1.2200317671945486
2020-06-17,1.5,-0.5,0,0.0,1.2200317671945486
2020-06-18,2.5,0.5,0,0.0,1.2200317671945486
2020-06-19,1.5,-0.5,0,-0.0,1.2200317671945486
2020-06-22,2.5,0.5,0,-0.0,1.2200317671945486
2020-06-23,2.5,0.5,0,0.0,1.2200317671945486
2020-06-24,1.5,-0.5,0,-0.0,1.2200317671945486
2020-06-25,1.5,-0.5,0,0.0,1.2200317671945486
2020-06-26,1.5,-0.5,0,-0.0,1.2200317671945486
2020-06-29,1.5,-0.5,0,-0.0,1.2200317671945486
2020-06-30,1.5,-0.5,0,-0.0,1.2200317671945486
2020-07-01,1.5,-0.5,0,0.0,1.2200317671945486
2020-07-02,1.5,-0.5,0,-0.0,1.2200317671945486
2020-07-03,2.5,0.5,0,-0.0,1.2200317671945486
2020-07-06,1.5,-0.5,0,0.0,1.2200317671945486
2020-07-07,1.5,-0.5,0,-0.0,1.2200317671945486
2020-07-08,1.5,-0.5,0,0.0,1.2200317671945486
2020-07-09,2.0,0.0,0,-0.0,1.2200317671945486
2020-07-10,2.0,0.0,0,-0.0,1.2200317671945486
2020-07-13,2.0,0.0,0,-0.0,1.2200317671945486
2020-07-14,1.5,-0.5,0,-0.0,1.2200317671945486
2020-07-15,1.5,-0.5,0,0.0,1.2200317671945486
2020-07-16,1.5,-0.5,0,-0.0,1.2200317671945486
2020-07-17,1.5,-0.5,0,-0.0,1.2200317671945486
2020-07-20,1.5,-0.5,0,-0.0,1.2200317671945486
2020-07-21,1.5,-0.5,0,-0.0,1.2200317671945486
2020-07-22,2.5,0.5,0,-0.0,1.2200317671945486
2020-07-23,2.0,0.0,0,-0.0,1.2200317671945486
2020-07-24,2.0,0.0,0,-0.0,1.2200317671945486
2020-07-27,2.0,0.0,0,0.0,1.2200317671945486
2020-07-28,2.5,0.5,0,-0.0,1.2200317671945486
2020-07-29,2.5,0.5,0,-0.0,1.2200317671945486
2020-07-30,2.0,0.0,0,0.0,1.2200317671945486
2020-07-31,2.5,0.5,0,-0.0,1.2200317671945486
2020-08-03,1.5,-0.5,0,-0.0,1.2200317671945486
2020-08-04,2.0,0.0,0,-0.0,1.2200317671945486
2020-08-05,2.0,0.0,0,0.0,1.2200317671945486
2020-08-06,2.5,0.5,0,0.0,1.2200317671945486
2020-08-07,2.0,0.0,0,0.0,1.2200317671945486
2020-08-10,2.5,0.5,0,-0.0,1.2200317671945486
2020-08-11,2.5,0.5,0,-0.0,1.2200317671945486
2020-08-12,2.0,0.0,0,-0.0,1.2200317671945486
2020-08-13,2.5,0.5,0,0.0,1.2200317671945486
2020-08-14,2.0,0.0,0,-0.0,1.2200317671945486
2020-08-17,2.0,0.0,0,-0.0,1.2200317671945486
2020-08-18,2.0,0.0,0,0.0,1.2200317671945486
2020-08-19,2.5,0.5,0,0.0,1.2200317671945486
2020-08-20,2.5,0.5,0,0.0,1.2200317671945486
2020-08-21,2.5,0.5,0,-0.0,1.2200317671945486
2020-08-24,2.5,0.5,0,-0.0,1.2200317671945486
2020-08-25,2.0,0.0,0,-0.0,1.2200317671945486
2020-08-26,2.0,0.0,0,0.0,1.2200317671945486
2020-08-27,2.0,0.0,0,-0.0,1.2200317671945486
2020-08-28,2.5,0.5,0,0.0,1.2200317671945486
2020-08-31,2.5,0.5,0,0.0,1.2200317671945486
2020-09-01,2.5,0.5,0,0.0,1.2200317671945486
2020-09-02,2.5,0.5,0,0.0,1.2200317671945486
2020-09-03,2.5,0.5,0,0.0,1.2200317671945486
2020-09-04,2.5,0.5,0,0.0,1.2200317671945486
2020-09-07,2.5,0.5,0,0.0,1.2200317671945486
2020-09-08,2.5,0.5,0,-0.0,1.2200317671945486
2020-09-09,2.5,0.5,0,0.0,1.2200317671945486
2020-09-10,2.5,0.5,0,0.0,1.2200317671945486
2020-09-11,2.5,0.5,0,-0.0,1.2200317671945486
2020-09-14,2.5,0.5,0,0.0,1.2200317671945486
2020-09-15,2.5,0.5,0,0.0,1.2200317671945486
2020-09-16,2.5,0.5,0,-0.0,1.2200317671945486
2020-09-17,2.5,0.5,0,-0.0,1.2200317671945486
2020-09-18,2.5,0.5,0,0.0,1.2200317671945486
2020-09-21,2.5,0.5,0,0.0,1.2200317671945486
2020-09-22,2.0,0.0,0,0.0,1.2200317671945486
2020-09-23,2.5,0.5,0,0.0,1.2200317671945486
2020-09-24,2.5,0.5,0,0.0,1.2200317671945486
2020-09-25,2.0,0.0,-1,0.009377430627827699,1.2314725304551617
2020-09-28,2.5,0.5,0,-0.0,1.2314725304551617
2020-09-29,2.0,0.0,0,-0.0,1.2314725304551617
2020-09-30,2.5,0.5,0,-0.0,1.2314725304551617
2020-10-01,2.5,0.5,0,0.0,1.2314725304551617
2020-10-02,1.5,-0.5,0,-0.0,1.2314725304551617
2020-10-05,1.5,-0.5,0,0.0,1.2314725304551617
2020-10-06,2.0,0.0,0,-0.0,1.2314725304551617
2020-10-07,1.5,-0.5,0,-0.0,1.2314725304551617
2020-10-08,2.0,0.0,0,-0.0,1.2314725304551617
2020-10-09,2.5,0.5,0,0.0,1.2314725304551617
2020-10-12,2.5,0.5,0,0.0,1.2314725304551617
2020-10-13,2.0,0.0,0,-0.0,1.2314725304551617
2020-10-14,2.5,0.5,0,0.0,1.2314725304551617
2020-10-15,2.5,0.5,0,-0.0,1.2314725304551617
2020-10-16,2.5,0.5,0,-0.0,1.2314725304551617
2020-10-19,2.0,0.0,0,-0.0,1.2314725304551617
2020-10-20,2.0,0.0,0,-0.0,1.2314725304551617
2020-10-21,2.0,0.0,0,0.0,1.2314725304551617
2020-10-22,2.0,0.0,0,-0.0,1.2314725304551617
2020-10-23,2.0,0.0,0,-0.0,1.2314725304551617
2020-10-26,1.5,-0.5,0,-0.0,1.2314725304551617
2020-10-27,2.0,0.0,0,0.0,1.2314725304551617
2020-10-28,2.5,0.5,0,0.0,1.2314725304551617
2020-10-29,2.5,0.5,0,-0.0,1.2314725304551617
2020-10-30,2.5,0.5,0,0.0,1.2314725304551617
2020-11-02,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-03,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-04,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-05,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-06,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-09,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-10,2.5,0.5,0,0.0,1.2314725304551617
2020-11-11,2.5,0.5,0,0.0,1.2314725304551617
2020-11-12,2.5,0.5,0,0.0,1.2314725304551617
2020-11-13,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-16,2.0,0.0,0,0.0,1.2314725304551617
2020-11-17,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-18,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-19,2.5,0.5,0,0.0,1.2314725304551617
2020-11-20,2.5,0.5,0,0.0,1.2314725304551617
2020-11-23,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-24,2.5,0.5,0,-0.0,1.2314725304551617
2020-11-25,2.5,0.5,0,0.0,1.2314725304551617
2020-11-26,1.5,-0.5,0,-0.0,1.2314725304551617
2020-11-27,1.5,-0.5,0,0.0,1.2314725304551617
2020-11-30,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-01,1.5,-0.5,0,-0.0,1.2314725304551617
2020-12-02,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-03,1.5,-0.5,0,0.0,1.2314725304551617
2020-12-04,1.5,-0.5,0,-0.0,1.2314725304551617
2020-12-07,2.5,0.5,0,0.0,1.2314725304551617
2020-12-08,2.5,0.5,0,0.0,1.2314725304551617
2020-12-09,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-10,1.5,-0.5,0,0.0,1.2314725304551617
2020-12-11,1.5,-0.5,0,-0.0,1.2314725304551617
2020-12-14,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-15,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-16,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-17,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-18,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-21,2.5,0.5,0,0.0,1.2314725304551617
2020-12-22,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-23,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-24,2.5,0.5,0,0.0,1.2314725304551617
2020-12-25,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-28,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-29,2.5,0.5,0,-0.0,1.2314725304551617
2020-12-30,2.5,0.5,0,0.0,1.2314725304551617
2020-12-31,1.5,-0.5,0,-0.0,1.2314725304551617
2021-01-01,2.5,0.5,0,0.0,1.2314725304551617
2021-01-04,1.5,-0.5,0,-0.0,1.2314725304551617
2021-01-05,2.5,0.5,0,-0.0,1.2314725304551617
2021-01-06,2.5,0.5,0,0.0,1.2314725304551617
2021-01-07,1.5,-0.5,0,0.0,1.2314725304551617
2021-01-08,2.0,0.0,0,0.0,1.2314725304551617
2021-01-11,2.0,0.0,0,-0.0,1.2314725304551617
2021-01-12,2.0,0.0,0,0.0,1.2314725304551617
2021-01-13,2.5,0.5,-1,0.004683924913449156,1.2372406553207889
2021-01-14,1.5,-0.5,-1,-0.010796042654598992,1.2238833524319417
2021-01-15,2.5,0.5,-1,0.0008096876748866499,1.2248743156979047
2021-01-18,2.5,0.5,-1,0.005016981469344151,1.2310194874420368
2021-01-19,2.5,0.5,0,0.0,1.2310194874420368
2021-01-20,2.5,0.5,0,-0.0,1.2310194874420368
2021-01-21,2.5,0.5,0,0.0,1.2310194874420368
2021-01-22,2.5,0.5,0,-0.0,1.2310194874420368
2021-01-25,2.5,0.5,0,0.0,1.2310194874420368
2021-01-26,2.5,0.5,0,0.0,1.2310194874420368
2021-01-27,2.5,0.5,0,-0.0,1.2310194874420368
2021-01-28,2.5,0.5,0,0.0,1.2310194874420368
2021-01-29,2.5,0.5,0,0.0,1.2310194874420368
2021-02-01,2.5,0.5,0,-0.0,1.2310194874420368
2021-02-02,1.5,-0.5,0,0.0,1.2310194874420368
2021-02-03,2.5,0.5,0,0.0,1.2310194874420368
2021-02-04,2.0,0.0,0,-0.0,1.2310194874420368
2021-02-05,2.5,0.5,0,0.0,1.2310194874420368
2021-02-08,2.5,0.5,0,-0.0,1.2310194874420368
2021-02-09,2.5,0.5,0,-0.0,1.2310194874420368
2021-02-10,1.5,-0.5,0,0.0,1.2310194874420368
2021-02-11,1.5,-0.5,0,-0.0,1.2310194874420368
2021-02-12,1.5,-0.5,0,-0.0,1.2310194874420368
2021-02-15,1.5,-0.5,0,0.0,1.2310194874420368
2021-02-16,2.0,0.0,0,0.0,1.2310194874420368
2021-02-17,2.0,0.0,0,-0.0,1.2310194874420368
2021-02-18,1.5,-0.5,0,-0.0,1.2310194874420368
2021-02-19,1.5,-0.5,0,-0.0,1.2310194874420368
2021-02-22,1.5,-0.5,0,0.0,1.2310194874420368
2021-02-23,1.5,-0.5,0,-0.0,1.2310194874420368
2021-02-24,1.5,-0.5,0,0.0,1.2310194874420368
2021-02-25,1.5,-0.5,0,0.0,1.2310194874420368
2021-02-26,2.0,0.0,0,-0.0,1.2310194874420368
2021-03-01,2.0,0.0,0,-0.0,1.2310194874420368
2021-03-02,2.5,0.5,0,0.0,1.2310194874420368
2021-03-03,2.5,0.5,0,0.0,1.2310194874420368
2021-03-04,2.5,0.5,0,0.0,1.2310194874420368
2021-03-05,2.5,0.5,0,0.0,1.2310194874420368
2021-03-08,2.5,0.5,0,-0.0,1.2310194874420368
2021-03-09,2.0,0.0,0,-0.0,1.2310194874420368
2021-03-10,2.0,0.0,0,-0.0,1.2310194874420368
2021-03-11,2.0,0.0,0,0.0,1.2310194874420368
2021-03-12,2.0,0.0,0,0.0,1.2310194874420368
2021-03-15,2.0,0.0,0,-0.0,1.2310194874420368
2021-03-16,2.5,0.5,0,-0.0,1.2310194874420368
2021-03-17,2.5,0.5,0,0.0,1.2310194874420368
2021-03-18,2.0,0.0,0,0.0,1.2310194874420368
2021-03-19,2.5,0.5,0,-0.0,1.2310194874420368
2021-03-22,2.5,0.5,0,0.0,1.2310194874420368
2021-03-23,2.5,0.5,0,0.0,1.2310194874420368
2021-03-24,2.0,0.0,0,0.0,1.2310194874420368
2021-03-25,2.5,0.5,0,-0.0,1.2310194874420368
2021-03-26,2.5,0.5,0,0.0,1.2310194874420368
2021-03-29,2.5,0.5,0,0.0,1.2310194874420368
2021-03-30,2.5,0.5,0,-0.0,1.2310194874420368
2021-03-31,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-01,2.5,0.5,0,0.0,1.2310194874420368
2021-04-02,2.0,0.0,0,-0.0,1.2310194874420368
2021-04-05,1.5,-0.5,0,-0.0,1.2310194874420368
2021-04-06,1.5,-0.5,0,0.0,1.2310194874420368
2021-04-07,1.5,-0.5,0,-0.0,1.2310194874420368
2021-04-08,2.0,0.0,0,-0.0,1.2310194874420368
2021-04-09,2.5,0.5,0,0.0,1.2310194874420368
2021-04-12,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-13,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-14,2.0,0.0,0,-0.0,1.2310194874420368
2021-04-15,1.5,-0.5,0,-0.0,1.2310194874420368
2021-04-16,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-19,2.0,0.0,0,0.0,1.2310194874420368
2021-04-20,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-21,2.5,0.5,0,0.0,1.2310194874420368
2021-04-22,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-23,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-26,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-27,2.5,0.5,0,-0.0,1.2310194874420368
2021-04-28,2.5,0.5,0,0.0,1.2310194874420368
2021-04-29,2.5,0.5,0,0.0,1.2310194874420368
2021-04-30,2.0,0.0,0,-0.0,1.2310194874420368
2021-05-03,2.0,0.0,0,0.0,1.2310194874420368
2021-05-04,2.0,0.0,0,0.0,1.2310194874420368
2021-05-05,2.5,0.5,0,-0.0,1.2310194874420368
2021-05-06,2.0,0.0,0,-0.0,1.2310194874420368
2021-05-07,2.5,0.5,0,0.0,1.2310194874420368
2021-05-10,2.0,0.0,0,-0.0,1.2310194874420368
2021-05-11,1.5,-0.5,1,0.01350165314096774,1.2476402855712512
2021-05-12,2.0,0.0,0,-0.0,1.2476402855712512
2021-05-13,2.5,0.5,1,-0.008200330869663652,1.2374092224232454
2021-05-14,2.5,0.5,1,-0.00030000480007674746,1.2370379937168592
2021-05-17,2.5,0.5,0,-0.0,1.2370379937168592
2021-05-18,2.5,0.5,0,0.0,1.2370379937168592
2021-05-19,2.5,0.5,0,-0.0,1.2370379937168592
2021-05-20,2.5,0.5,0,0.0,1.2370379937168592
2021-05-21,2.5,0.5,0,-0.0,1.2370379937168592
2021-05-24,2.5,0.5,0,-0.0,1.2370379937168592
2021-05-25,2.5,0.5,0,0.0,1.2370379937168592
2021-05-26,2.5,0.5,0,-0.0,1.2370379937168592
2021-05-27,2.5,0.5,0,0.0,1.2370379937168592
2021-05-28,2.5,0.5,0,-0.0,1.2370379937168592
2021-05-31,2.5,0.5,0,-0.0,1.2370379937168592
2021-06-01,2.5,0.5,0,-0.0,1.2370379937168592
2021-06-02,2.5,0.5,0,0.0,1.2370379937168592
2021-06-03,2.5,0.5,0,-0.0,1.2370379937168592
2021-06-04,2.5,0.5,0,-0.0,1.2370379937168592
2021-06-07,2.0,0.0,0,0.0,1.2370379937168592
2021-06-08,2.0,0.0,0,-0.0,1.2370379937168592
2021-06-09,2.0,0.0,0,-0.0,1.2370379937168592
2021-06-10,2.0,0.0,0,0.0,1.2370379937168592
2021-06-11,2.5,0.5,0,0.0,1.2370379937168592
2021-06-14,2.0,0.0,0,0.0,1.2370379937168592
2021-06-15,2.5,0.5,0,0.0,1.2370379937168592
2021-06-16,2.0,0.0,0,0.0,1.2370379937168592
2021-06-17,2.0,0.0,0,0.0,1.2370379937168592
2021-06-18,2.0,0.0,0,-0.0,1.2370379937168592
2021-06-21,2.0,0.0,0,-0.0,1.2370379937168592
2021-06-22,2.0,0.0,0,0.0,1.2370379937168592
2021-06-23,2.0,0.0,0,-0.0,1.2370379937168592
2021-06-24,2.5,0.5,0,0.0,1.2370379937168592
2021-06-25,2.0,0.0,0,0.0,1.2370379937168592
2021-06-28,2.0,0.0,0,0.0,1.2370379937168592
2021-06-29,2.0,0.0,0,0.0,1.2370379937168592
2021-06-30,2.0,0.0,0,0.0,1.2370379937168592
2021-07-01,2.5,0.5,0,-0.0,1.2370379937168592
2021-07-02,2.0,0.0,0,0.0,1.2370379937168592
2021-07-05,2.0,0.0,0,0.0,1.2370379937168592
2021-07-06,2.5,0.5,0,0.0,1.2370379937168592
2021-07-07,2.5,0.5,0,-0.0,1.2370379937168592
2021-07-08,2.5,0.5,0,-0.0,1.2370379937168592
2021-07-09,2.5,0.5,0,0.0,1.2370379937168592
2021-07-12,2.5,0.5,0,0.0,1.2370379937168592
2021-07-13,2.5,0.5,0,-0.0,1.2370379937168592
2021-07-14,2.5,0.5,0,0.0,1.2370379937168592
2021-07-15,2.0,0.0,0,0.0,1.2370379937168592
2021-07-16,2.0,0.0,0,0.0,1.2370379937168592
2021-07-19,2.0,0.0,0,0.0,1.2370379937168592
2021-07-20,2.0,0.0,0,-0.0,1.2370379937168592
2021-07-21,2.0,0.0,0,-0.0,1.2370379937168592
2021-07-22,2.0,0.0,0,0.0,1.2370379937168592
2021-07-23,2.0,0.0,0,-0.0,1.2370379937168592
2021-07-26,2.0,0.0,0,0.0,1.2370379937168592
2021-07-27,2.0,0.0,0,-0.0,1.2370379937168592
2021-07-28,2.0,0.0,0,-0.0,1.2370379937168592
2021-07-29,2.0,0.0,0,0.0,1.2370379937168592
2021-07-30,2.0,0.0,0,0.0,1.2370379937168592
2021-08-02,2.0,0.0,0,0.0,1.2370379937168592
2021-08-03,2.0,0.0,0,0.0,1.2370379937168592
2021-08-04,2.0,0.0,0,0.0,1.2370379937168592
2021-08-05,2.0,0.0,0,0.0,1.2370379937168592
2021-08-06,2.0,0.0,0,0.0,1.2370379937168592
2021-08-09,2.0,0.0,0,0.0,1.2370379937168592
2021-08-10,1.5,-0.5,0,-0.0,1.2370379937168592
2021-08-11,2.0,0.0,0,0.0,1.2370379937168592
2021-08-12,2.0,0.0,0,-0.0,1.2370379937168592
2021-08-13,2.0,0.0,0,0.0,1.2370379937168592
2021-08-16,2.0,0.0,0,0.0,1.2370379937168592
2021-08-17,2.0,0.0,0,-0.0,1.2370379937168592
